doc_id,metadata,vector_db_source
1,"{'Domain': 'Education and Academia', 'Topic': 'Remote Learning', 'Category': 'Digital Education', 'Published Date': '2023-09-22', 'Source': 'Education Insights', 'Author': 'Benjamin Turner', 'Tags': ['Remote Learning', 'Digital Tools'], 'Keywords': ['remote education', 'e-learning'], 'Language': 'English', 'Sentiment': 'Neutral'}",faiss
2,"{'Domain': 'Education and Academia', 'Topic': 'STEM Education', 'Category': 'Career Development', 'Published Date': '2023-10-01', 'Source': 'STEM Education Today', 'Author': 'Linda Gomez', 'Tags': ['STEM', 'Careers'], 'Keywords': ['STEM initiatives', 'technology education'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
3,"{'Domain': 'Education and Academia', 'Topic': 'Higher Education', 'Category': 'Enrollment', 'Published Date': '2023-09-27', 'Source': 'University Review', 'Author': 'Andrew Thompson', 'Tags': ['Higher Education', 'Enrollment'], 'Keywords': ['college enrollment', 'student priorities'], 'Language': 'English', 'Sentiment': 'Concerned'}",faiss
4,"{'Domain': 'Education and Academia', 'Topic': 'Inclusive Education', 'Category': 'Teaching Methods', 'Published Date': '2023-10-03', 'Source': 'Teaching Insights', 'Author': 'Linda Gomez', 'Tags': ['Inclusive Education', 'Diversity'], 'Keywords': ['inclusive teaching', 'diverse learning'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
5,"{'Domain': 'Education and Academia', 'Topic': 'EdTech', 'Category': 'Personalized Learning', 'Published Date': '2023-09-28', 'Source': 'EdTech Updates', 'Author': 'Benjamin Turner', 'Tags': ['Technology', 'Personalized Learning'], 'Keywords': ['edtech', 'learning outcomes'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
6,"{'Domain': 'Education and Academia', 'Topic': 'Student Health', 'Category': 'Wellbeing', 'Published Date': '2023-09-30', 'Source': 'Education Health Report', 'Author': 'Andrew Thompson', 'Tags': ['Mental Health', 'Education'], 'Keywords': ['student wellbeing', 'holistic approaches'], 'Language': 'English', 'Sentiment': 'Concerned'}",faiss
7,"{'Domain': 'Education and Academia', 'Topic': 'Adult Education', 'Category': 'Lifelong Learning', 'Published Date': '2023-10-04', 'Source': 'Adult Learning News', 'Author': 'Linda Gomez', 'Tags': ['Lifelong Learning', 'Career Skills'], 'Keywords': ['skills upgrading', 'job market'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
8,"{'Domain': 'Education and Academia', 'Topic': 'Gamification', 'Category': 'Student Engagement', 'Published Date': '2023-09-26', 'Source': 'Education Games Review', 'Author': 'Benjamin Turner', 'Tags': ['Gamification', 'Motivation'], 'Keywords': ['education games', 'student motivation'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
9,"{'Domain': 'Education and Academia', 'Topic': 'Education Policy', 'Category': 'Funding', 'Published Date': '2023-09-22', 'Source': 'Policy Education Review', 'Author': 'Andrew Thompson', 'Tags': ['Policy', 'Funding'], 'Keywords': ['education policy', 'school funding'], 'Language': 'English', 'Sentiment': 'Neutral'}",faiss
10,"{'Domain': 'Education and Academia', 'Topic': 'Digital Literacy', 'Category': 'Curriculum', 'Published Date': '2023-10-06', 'Source': 'Digital Education News', 'Author': 'Linda Gomez', 'Tags': ['Digital Literacy', 'Curriculum'], 'Keywords': ['digital skills', 'education programs'], 'Language': 'English', 'Sentiment': 'Positive'}",faiss
